股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
688001,华兴源创,科创版,2022-08-20,41.28,-0.65,-0.27,37936,157953817.0,3.3,42.37,41.0,41.72,0.92,专用设备,江苏板块,110.97,5.33
688002,睿创微纳,科创版,2022-08-20,49.95,-1.9,-0.97,60757,309338988.0,3.97,51.97,49.95,51.3,1.36,半导体,山东板块,99.04,6.14
688003,天准科技,科创版,2022-08-20,42.47,-10.04,-4.74,42144,184989928.0,10.23,47.09,42.26,46.89,2.16,通用设备,江苏板块,1323.37,5.48
688004,博汇科技,科创版,2022-08-20,25.85,-2.05,-0.54,4377,11564043.0,3.52,26.75,25.82,26.48,1.1,互联网服务,北京板块,-60.69,1.99
688005,容百科技,科创版,2022-08-20,109.4,-3.01,-3.4,127734,1397004872.0,4.7,112.9,107.6,111.25,4.56,电池,浙江板块,42.18,8.74
688006,杭可科技,科创版,2022-08-20,72.86,-4.88,-3.74,19107,142501876.0,7.22,78.3,72.77,78.16,0.47,电池,浙江板块,78.7,10.32
688007,光峰科技,科创版,2022-08-20,27.46,-4.82,-1.39,38498,108242787.0,6.66,29.19,27.27,28.9,0.84,消费电子,广东板块,136.1,5.04
688008,澜起科技,科创版,2022-08-20,54.98,-1.73,-0.97,154640,871018890.0,5.09,57.79,54.94,56.4,1.36,半导体,上海板块,45.77,6.9
688009,中国通号,科创版,2022-08-20,4.41,0.0,0.0,100322,44398325.0,0.91,4.44,4.4,4.42,0.5,交运设备,北京板块,18.02,1.18
688010,福光股份,科创版,2022-08-20,26.95,4.3,1.11,40229,109004754.0,6.39,27.98,26.33,26.4,2.63,光学光电子,福建板块,81.08,2.34
688011,新光光电,科创版,2022-08-20,27.43,-2.87,-0.81,12526,35166263.0,6.09,29.13,27.41,28.13,2.26,光学光电子,黑龙江,239.77,2.21
688012,中微公司,科创版,2022-08-20,136.8,-2.15,-3.0,59579,829274394.0,4.46,142.65,136.41,139.4,0.97,半导体,上海板块,90.11,5.74
688013,天臣医疗,科创版,2022-08-20,20.48,-1.96,-0.41,3727,7698042.0,3.93,21.13,20.31,21.13,0.97,医疗器械,江苏板块,57.17,3.31
688015,交控科技,科创版,2022-08-20,23.51,-1.88,-0.45,15040,35966467.0,4.72,24.61,23.48,23.94,0.8,交运设备,北京板块,50.24,1.98
688016,心脉医疗,科创版,2022-08-20,145.66,-0.98,-1.44,10635,156972264.0,4.41,151.68,145.2,147.1,2.75,医疗器械,上海板块,21.23,7.13
688017,绿的谐波,科创版,2022-08-20,194.0,-1.35,-2.66,27747,544867900.0,5.07,201.98,192.0,197.77,3.02,通用设备,江苏板块,178.44,17.63
688018,乐鑫科技,科创版,2022-08-20,105.52,-4.97,-5.52,15069,164105589.0,7.17,113.48,105.52,110.7,1.87,半导体,上海板块,76.2,4.86
688019,安集科技,科创版,2022-08-20,266.34,-1.83,-4.97,7565,204585949.0,5.13,279.93,266.0,272.05,1.01,电子化学品,上海板块,125.6,16.17
688020,方邦股份,科创版,2022-08-20,56.27,-9.27,-5.75,27733,160295267.0,10.32,62.5,56.1,61.51,3.47,电子元件,广东板块,-70.04,2.85
688021,奥福环保,科创版,2022-08-20,27.74,-2.94,-0.84,2770,7818112.0,4.62,28.84,27.52,28.58,0.6,环保行业,山东板块,53.99,2.26
688022,瀚川智能,科创版,2022-08-20,70.3,-6.52,-4.9,29080,209811013.0,12.67,78.18,68.65,77.07,2.68,专用设备,江苏板块,1201.4,8.13
688023,安恒信息,科创版,2022-08-20,159.25,-1.83,-2.97,7077,115718970.0,5.91,168.65,159.07,161.0,1.25,软件开发,浙江板块,-16.44,4.31
688025,杰普特,科创版,2022-08-20,69.61,-5.05,-3.7,53802,388159241.0,7.27,74.78,69.45,73.6,9.79,电子元件,广东板块,66.93,3.78
688026,洁特生物,科创版,2022-08-20,38.37,-3.01,-1.19,4244,16479115.0,4.04,39.8,38.2,39.18,0.57,塑料制品,广东板块,32.83,5.62
688027,国盾量子,科创版,2022-08-20,114.0,-4.11,-4.89,7724,90760144.0,6.63,121.88,114.0,118.49,1.65,通信设备,安徽板块,-116.56,5.51
688028,沃尔德,科创版,2022-08-20,52.55,-8.45,-4.85,22947,123153467.0,9.2,57.18,51.9,56.8,2.87,通用设备,北京板块,147.06,4.91
688029,南微医学,科创版,2022-08-20,85.28,-2.11,-1.84,15586,136293509.0,6.47,90.9,85.26,87.48,0.83,医疗器械,江苏板块,63.95,5.33
688030,山石网科,科创版,2022-08-20,21.73,-3.03,-0.68,8291,18442516.0,4.77,22.79,21.72,22.41,0.83,软件开发,江苏板块,-13.65,2.76
688032,禾迈股份,科创版,2022-08-20,1072.88,0.89,9.49,5089,534372398.0,9.54,1110.5,1009.0,1049.7,3.84,光伏设备,浙江板块,172.16,10.09
688033,天宜上佳,科创版,2022-08-20,27.6,-5.77,-1.69,135518,377016801.0,8.81,29.68,27.1,29.57,3.01,交运设备,北京板块,85.9,4.65
688036,传音控股,科创版,2022-08-20,77.41,-3.07,-2.45,104044,828151814.0,5.23,81.51,77.33,80.8,2.63,消费电子,广东板块,19.55,4.56
688037,芯源微,科创版,2022-08-20,214.0,-5.54,-12.55,18051,391979661.0,6.99,228.99,213.16,228.98,4.0,半导体,辽宁板块,152.62,10.52
688038,中科通达,科创版,2022-08-20,14.29,-2.52,-0.37,7927,11541269.0,4.91,14.98,14.26,14.65,0.99,软件开发,湖北板块,110.28,2.26
688039,当虹科技,科创版,2022-08-20,51.05,0.12,0.06,16238,82847141.0,3.57,51.82,50.0,51.42,3.28,互联网服务,浙江板块,-68.37,2.74
688041,海光信息,科创版,2022-08-20,54.26,-5.88,-3.39,198562,1121274065.0,8.81,59.1,54.02,58.01,9.95,半导体,天津板块,132.5,7.6
688045,必易微,科创版,2022-08-20,78.0,3.3,2.49,29094,228416053.0,9.68,82.8,75.49,75.55,19.86,半导体,广东板块,46.15,4.0
688046,药康生物,科创版,2022-08-20,32.8,2.56,0.82,15989,51035894.0,7.91,33.08,30.55,32.26,3.63,生物制品,江苏板块,82.37,7.1
688047,龙芯中科,科创版,2022-08-20,88.5,-0.56,-0.5,24956,224292330.0,2.67,90.88,88.5,89.0,8.0,半导体,北京板块,243.59,9.21
688048,长光华芯,科创版,2022-08-20,138.0,-5.22,-7.6,21656,313023885.0,9.24,151.0,137.55,147.49,7.34,半导体,江苏板块,158.1,5.9
688049,炬芯科技,科创版,2022-08-20,39.16,-5.75,-2.39,19180,77890431.0,7.56,42.26,39.12,41.79,6.99,半导体,广东板块,113.82,2.77
688050,爱博医疗,科创版,2022-08-20,200.08,-0.4,-0.81,8234,167413617.0,5.32,208.7,198.01,198.33,1.18,医疗器械,北京板块,85.43,12.16
688051,佳华科技,科创版,2022-08-20,27.91,-4.02,-1.17,7068,20259048.0,6.77,29.77,27.8,29.09,2.97,互联网服务,北京板块,-18.29,1.72
688052,纳芯微,科创版,2022-08-20,393.01,0.0,0.01,8042,319561321.0,4.47,405.88,388.31,390.0,3.73,半导体,江苏板块,117.8,6.47
688053,思科瑞,科创版,2022-08-20,71.3,-3.65,-2.7,7420,54400902.0,7.01,75.88,70.69,74.02,3.39,电子元件,四川板块,94.42,4.49
688055,龙腾光电,科创版,2022-08-20,5.46,-2.33,-0.13,71044,39719538.0,4.29,5.7,5.46,5.6,0.39,光学光电子,江苏板块,29.32,3.88
688056,莱伯泰科,科创版,2022-08-20,41.6,-7.56,-3.4,14027,60065445.0,7.53,44.99,41.6,44.3,5.49,仪器仪表,北京板块,58.65,3.61
688057,金达莱,科创版,2022-08-20,16.86,-2.15,-0.37,19712,33609535.0,2.79,17.32,16.84,17.17,1.42,环保行业,江西板块,12.13,1.55
688058,宝兰德,科创版,2022-08-20,55.45,-2.26,-1.28,11684,67123483.0,6.33,59.0,55.41,56.51,3.74,软件开发,北京板块,54.6,3.29
688059,华锐精密,科创版,2022-08-20,119.65,-5.64,-7.15,2430,29616801.0,6.77,128.0,119.41,125.15,0.98,通用设备,湖南板块,33.16,6.01
688060,云涌科技,科创版,2022-08-20,53.0,-2.75,-1.5,5650,30506009.0,4.5,55.36,52.91,54.5,2.15,软件开发,江苏板块,131.0,3.34
688062,迈威生物-U,科创版,2022-08-20,16.13,-1.77,-0.29,12817,20873913.0,2.74,16.56,16.11,16.42,1.36,生物制品,上海板块,-7.31,1.55
688063,派能科技,科创版,2022-08-20,475.13,-3.82,-18.88,23319,1133418642.0,5.24,499.9,474.01,491.33,2.84,电池,上海板块,181.52,24.44
688065,凯赛生物,科创版,2022-08-20,77.61,-3.08,-2.47,11393,89145890.0,4.2,80.83,77.47,80.0,0.48,化学制品,上海板块,67.26,4.2
688066,航天宏图,科创版,2022-08-20,74.6,-5.57,-4.4,42966,316629658.0,15.25,81.78,69.73,80.0,2.32,互联网服务,北京板块,807.89,6.09
688067,爱威科技,科创版,2022-08-20,21.57,-3.01,-0.67,7340,15965983.0,3.33,22.27,21.53,22.2,1.83,医疗器械,湖南板块,62.8,3.16
688068,热景生物,科创版,2022-08-20,66.17,-0.66,-0.44,15872,106562862.0,3.83,68.28,65.73,66.62,2.45,医疗器械,北京板块,2.51,1.94
688069,德林海,科创版,2022-08-20,32.45,-1.37,-0.45,1345,4390348.0,3.25,33.3,32.23,33.3,0.26,环保行业,江苏板块,218.92,1.85
688070,纵横股份,科创版,2022-08-20,69.0,-3.09,-2.2,11307,79595839.0,5.6,72.99,69.0,71.52,3.03,航天航空,四川板块,-2722.38,8.69
688071,华依科技,科创版,2022-08-20,80.99,-3.12,-2.61,13619,113197138.0,10.04,87.67,79.28,83.59,3.34,汽车零部件,上海板块,-403.81,12.81
688072,拓荆科技-U,科创版,2022-08-20,254.1,-8.44,-23.42,11239,296461408.0,10.99,284.15,253.64,278.12,4.29,半导体,辽宁板块,-676.42,9.71
688075,安旭生物,科创版,2022-08-20,106.45,1.57,1.65,16007,171257453.0,4.24,108.48,104.04,104.72,7.06,医疗器械,浙江板块,0.9,1.91
688076,诺泰生物,科创版,2022-08-20,23.36,-2.01,-0.48,17302,40820497.0,3.27,24.13,23.35,23.58,1.2,医疗服务,江苏板块,77.36,2.77
688077,大地熊,科创版,2022-08-20,83.2,-4.2,-3.65,22188,191215520.0,6.25,88.28,82.85,86.95,4.94,小金属,安徽板块,32.08,6.36
688078,龙软科技,科创版,2022-08-20,42.6,-1.98,-0.86,7434,32003086.0,4.76,44.31,42.24,42.88,2.09,软件开发,北京板块,53.24,5.15
688079,美迪凯,科创版,2022-08-20,12.6,-3.52,-0.46,75822,96882386.0,6.58,13.27,12.41,13.07,4.35,光学光电子,浙江板块,84.9,3.24
688080,映翰通,科创版,2022-08-20,44.81,-4.5,-2.11,5293,24171287.0,6.84,47.61,44.4,47.21,1.4,通信设备,北京板块,298.86,3.16
688081,兴图新科,科创版,2022-08-20,21.72,-11.02,-2.69,20350,45362542.0,6.51,23.15,21.56,23.13,6.41,通信服务,湖北板块,-41.83,2.45
688082,盛美上海,科创版,2022-08-20,120.0,-5.06,-6.39,14727,182091432.0,9.04,131.0,119.58,125.19,4.13,专用设备,上海板块,109.95,10.27
688083,中望软件,科创版,2022-08-20,215.99,-1.06,-2.31,5020,108836375.0,3.66,222.0,214.0,217.2,1.13,软件开发,广东板块,-257.22,6.93
688085,三友医疗,科创版,2022-08-20,23.84,-3.68,-0.91,18948,46594023.0,7.11,25.58,23.82,24.75,2.04,医疗器械,上海板块,40.59,3.2
688086,*ST紫晶,科创版,2022-08-20,7.75,-1.27,-0.1,21635,16953137.0,2.93,7.96,7.73,7.83,1.63,计算机设备,广东板块,-3.69,1.01
688087,英科再生,科创版,2022-08-20,53.14,-0.06,-0.03,3861,20808097.0,3.76,55.0,53.0,53.24,0.56,塑料制品,山东板块,36.47,3.74
688088,虹软科技,科创版,2022-08-20,31.98,-8.71,-3.05,99331,332737787.0,10.11,35.44,31.9,35.01,3.71,互联网服务,浙江板块,132.33,5.21
688089,嘉必优,科创版,2022-08-20,44.0,-2.61,-1.18,16466,72506503.0,5.25,45.73,43.36,45.73,2.52,食品饮料,湖北板块,52.77,3.78
688090,瑞松科技,科创版,2022-08-20,41.41,-5.86,-2.58,21112,88843374.0,8.37,44.6,40.92,43.87,4.56,专用设备,广东板块,76.6,2.91
688091,上海谊众-U,科创版,2022-08-20,118.5,-8.14,-10.5,17475,212896742.0,8.11,128.96,118.5,128.96,6.71,化学制药,上海板块,102.8,10.14
688092,爱科科技,科创版,2022-08-20,30.23,-3.33,-1.04,13923,42168405.0,6.72,31.65,29.55,31.47,5.34,专用设备,浙江板块,48.21,3.59
688093,世华科技,科创版,2022-08-20,21.87,-4.75,-1.09,14533,32382075.0,6.49,23.2,21.71,23.15,2.44,电子元件,江苏板块,46.26,4.19
688095,福昕软件,科创版,2022-08-20,75.35,-3.24,-2.52,9822,75888361.0,6.78,80.31,75.03,77.71,2.49,软件开发,福建板块,122.25,1.87
688096,京源环保,科创版,2022-08-20,13.11,-1.5,-0.2,7295,9649481.0,2.18,13.36,13.07,13.3,0.92,环保行业,江苏板块,65.86,1.86
688097,博众精工,科创版,2022-08-20,35.13,-4.64,-1.71,15037,53118160.0,8.41,37.3,34.2,36.99,3.0,专用设备,江苏板块,344.07,5.85
688098,申联生物,科创版,2022-08-20,8.35,-0.48,-0.04,12800,10748486.0,1.79,8.49,8.34,8.36,0.49,农药兽药,上海板块,35.82,2.34
688099,晶晨股份,科创版,2022-08-20,91.35,-3.3,-3.12,17588,163375638.0,4.09,95.21,91.35,93.82,0.43,半导体,上海板块,32.11,8.21
688100,威胜信息,科创版,2022-08-20,25.25,-3.88,-1.02,32981,85166202.0,8.11,27.26,25.13,26.33,1.98,通信设备,湖南板块,33.17,4.74
688101,三达膜,科创版,2022-08-20,14.85,-1.98,-0.3,18312,27460213.0,3.63,15.32,14.77,15.1,1.0,环保行业,陕西板块,21.3,1.45
688102,斯瑞新材,科创版,2022-08-20,16.81,-3.94,-0.69,46999,79638247.0,7.31,17.78,16.5,17.5,14.31,有色金属,陕西板块,53.79,7.12
688103,国力股份,科创版,2022-08-20,59.29,-1.07,-0.64,4789,28990908.0,4.61,61.76,59.0,59.93,2.36,电子元件,江苏板块,117.27,6.11
688105,诺唯赞,科创版,2022-08-20,67.75,-3.06,-2.14,5897,40512062.0,4.82,70.9,67.53,69.45,1.65,医疗器械,江苏板块,15.71,6.1
688106,金宏气体,科创版,2022-08-20,21.92,-3.99,-0.91,58528,130901216.0,5.91,23.25,21.9,22.97,2.22,电子化学品,江苏板块,68.53,4.1
688107,安路科技-U,科创版,2022-08-20,72.2,-2.97,-2.21,18309,136459389.0,6.72,76.98,71.98,74.41,4.09,半导体,上海板块,408.15,18.87
688108,赛诺医疗,科创版,2022-08-20,6.27,-0.79,-0.05,28467,17937707.0,3.01,6.43,6.24,6.24,0.98,医疗器械,天津板块,-21.86,2.86
688109,品茗科技,科创版,2022-08-20,31.8,-4.96,-1.66,3381,11205606.0,6.99,34.14,31.8,33.0,1.3,软件开发,浙江板块,-17.17,2.02
688110,东芯股份,科创版,2022-08-20,35.72,-3.22,-1.19,49607,181266699.0,5.88,37.77,35.6,36.72,5.42,半导体,上海板块,35.86,4.1
688111,金山办公,科创版,2022-08-20,170.12,-1.28,-2.21,20415,350970287.0,3.06,175.4,170.12,171.9,0.94,软件开发,北京板块,78.22,10.2
688112,鼎阳科技,科创版,2022-08-20,83.21,-6.2,-5.5,20278,169965848.0,8.47,89.06,81.55,89.05,8.34,仪器仪表,广东板块,78.5,6.34
688113,联测科技,科创版,2022-08-20,56.66,-5.09,-3.04,4695,27342119.0,6.68,60.55,56.56,59.7,1.17,专用设备,江苏板块,39.15,5.14
688115,思林杰,科创版,2022-08-20,65.61,-1.85,-1.24,8520,55667893.0,6.93,67.99,63.36,66.54,5.56,仪器仪表,广东板块,69.0,3.39
688116,天奈科技,科创版,2022-08-20,130.55,0.42,0.55,44991,589399171.0,3.13,133.37,129.3,131.45,2.51,化学制品,江苏板块,75.83,14.63
688117,圣诺生物,科创版,2022-08-20,27.5,-1.5,-0.42,4448,12305493.0,1.79,28.0,27.5,27.83,0.96,化学制药,四川板块,38.48,2.84
688118,普元信息,科创版,2022-08-20,17.77,-2.74,-0.5,16966,30710183.0,4.87,18.56,17.67,18.27,2.34,软件开发,上海板块,-30.8,2.01
688119,中钢洛耐,科创版,2022-08-20,7.88,-1.75,-0.14,58766,46678465.0,2.12,8.04,7.87,8.01,3.93,非金属材料,河南板块,38.01,2.95
688120,华海清科,科创版,2022-08-20,329.02,-3.14,-10.67,12046,406969103.0,6.77,352.0,329.01,340.0,4.88,半导体,天津板块,94.49,7.83
688121,卓然股份,科创版,2022-08-20,20.47,-3.08,-0.65,7361,15290510.0,4.5,21.33,20.38,21.16,1.7,专用设备,上海板块,-17.74,2.31
688122,西部超导,科创版,2022-08-20,108.05,-0.78,-0.85,27382,297584094.0,4.79,112.37,107.15,109.0,0.59,有色金属,陕西板块,45.39,9.19
688123,聚辰股份,科创版,2022-08-20,98.82,-3.48,-3.56,12078,121453743.0,7.35,104.78,97.25,102.54,1.44,半导体,上海板块,52.16,7.68
688125,安达智能,科创版,2022-08-20,78.8,18.32,12.2,40276,298702969.0,18.89,79.92,67.34,70.0,23.94,专用设备,广东板块,52.2,3.53
688126,沪硅产业-U,科创版,2022-08-20,21.57,-3.1,-0.69,153921,339679925.0,5.75,22.79,21.51,22.25,1.14,半导体,上海板块,535.1,4.45
688127,蓝特光学,科创版,2022-08-20,25.95,-2.55,-0.68,37363,101091033.0,7.66,27.99,25.95,26.83,2.21,光学光电子,浙江板块,121.37,7.29
688128,中国电研,科创版,2022-08-20,23.2,-3.69,-0.89,20291,47668483.0,4.61,24.2,23.09,24.09,2.11,专用设备,广东板块,47.76,4.0
688129,东来技术,科创版,2022-08-20,15.35,-2.79,-0.44,6540,10169650.0,3.99,15.95,15.32,15.82,1.61,化学制品,上海板块,41.76,2.17
688130,晶华微,科创版,2022-08-20,58.74,-2.26,-1.36,16228,97138101.0,5.11,61.48,58.41,60.01,10.94,半导体,浙江板块,40.84,2.99
688131,皓元医药,科创版,2022-08-20,146.3,-3.75,-5.7,4857,72084433.0,4.79,153.28,146.0,152.14,0.81,化学制药,上海板块,61.06,8.27
688133,泰坦科技,科创版,2022-08-20,138.96,-2.83,-4.04,4614,64842971.0,4.77,145.0,138.18,143.12,0.99,专业服务,上海板块,136.67,6.69
688135,利扬芯片,科创版,2022-08-20,35.88,-6.81,-2.62,37369,139819736.0,8.96,39.15,35.7,38.38,4.44,半导体,广东板块,179.94,4.75
688136,科兴制药,科创版,2022-08-20,24.94,-0.64,-0.16,6666,16717474.0,1.67,25.33,24.91,25.28,1.03,生物制品,山东板块,42.56,2.58
688138,清溢光电,科创版,2022-08-20,20.98,-4.94,-1.09,33862,73149113.0,7.11,22.55,20.98,22.11,4.15,半导体,广东板块,105.39,4.68
688139,海尔生物,科创版,2022-08-20,74.9,0.67,0.5,9376,71128833.0,4.1,76.84,73.79,74.79,0.51,医疗器械,山东板块,52.3,6.7
688148,芳源股份,科创版,2022-08-20,20.39,-3.18,-0.67,122784,250550925.0,6.51,21.23,19.86,21.1,3.21,电池,广东板块,1851.61,7.79
688150,莱特光电,科创版,2022-08-20,27.82,5.02,1.33,117140,335898816.0,13.51,30.59,27.01,27.8,35.83,光学光电子,陕西板块,86.83,6.97
688151,华强科技,科创版,2022-08-20,23.95,-2.28,-0.56,18938,46049340.0,3.67,24.83,23.93,24.43,2.61,专用设备,湖北板块,27.41,1.97
688153,唯捷创芯-U,科创版,2022-08-20,45.4,-3.42,-1.61,20953,97010498.0,6.23,48.26,45.33,47.01,6.86,半导体,天津板块,123.53,4.89
688155,先惠技术,科创版,2022-08-20,113.08,-6.97,-8.47,7352,85383489.0,11.26,124.8,111.11,124.8,2.23,专用设备,上海板块,104.48,7.12
688156,路德环境,科创版,2022-08-20,24.54,0.29,0.07,10542,25676595.0,3.19,24.78,24.0,24.41,1.48,环保行业,湖北板块,61.66,2.96
688157,松井股份,科创版,2022-08-20,118.0,-4.77,-5.91,6780,82085914.0,5.41,124.7,118.0,124.0,1.93,化学制品,湖南板块,117.53,7.79
688158,优刻得-W,科创版,2022-08-20,14.43,-3.67,-0.55,67544,100012114.0,6.14,15.3,14.38,14.99,1.9,互联网服务,上海板块,-12.58,2.07
688159,有方科技,科创版,2022-08-20,21.81,-9.8,-2.37,34172,77442948.0,12.94,24.89,21.76,24.18,5.25,通信设备,广东板块,-79.15,2.42
688160,步科股份,科创版,2022-08-20,54.5,-5.68,-3.28,19596,108085473.0,8.88,58.65,53.52,58.49,7.35,专用设备,上海板块,53.37,6.83
688161,威高骨科,科创版,2022-08-20,50.0,-2.91,-1.5,6982,35598063.0,4.54,52.34,50.0,51.48,1.4,医疗器械,山东板块,51.08,4.52
688162,巨一科技,科创版,2022-08-20,67.42,-6.92,-5.01,20947,144484321.0,6.9,72.0,67.0,72.0,7.37,专用设备,安徽板块,63.89,3.68
688163,赛伦生物,科创版,2022-08-20,23.22,-2.48,-0.59,8895,20934367.0,3.65,24.09,23.22,23.75,3.59,生物制品,上海板块,158.64,2.37
688165,埃夫特-U,科创版,2022-08-20,10.18,-3.23,-0.34,48344,50100018.0,5.42,10.74,10.17,10.54,1.49,通用设备,安徽板块,-39.5,2.84
688166,博瑞医药,科创版,2022-08-20,22.84,0.66,0.15,37514,86720819.0,4.58,23.56,22.52,22.61,1.78,化学制药,江苏板块,38.53,5.53
688167,炬光科技,科创版,2022-08-20,154.0,-4.78,-7.73,11353,181791006.0,6.6,164.68,154.0,162.88,5.29,半导体,陕西板块,171.86,5.93
688168,安博通,科创版,2022-08-20,37.01,-2.66,-1.01,7883,29735724.0,5.84,39.2,36.98,38.48,1.97,软件开发,北京板块,-29.51,2.51
688169,石头科技,科创版,2022-08-20,343.0,-0.54,-1.86,7004,242146654.0,3.58,351.19,338.86,343.0,0.97,家电行业,北京板块,23.39,3.69
688170,德龙激光,科创版,2022-08-20,67.3,-2.52,-1.74,27540,193078305.0,10.08,74.0,67.04,68.5,13.1,专用设备,江苏板块,73.35,5.49
688171,纬德信息,科创版,2022-08-20,25.56,-2.03,-0.53,18954,49727343.0,6.25,27.08,25.45,26.21,9.53,软件开发,广东板块,55.24,2.67
688173,希荻微,科创版,2022-08-20,33.33,-6.53,-2.33,38977,135602592.0,9.53,36.73,33.33,35.5,11.88,半导体,广东板块,352.36,7.8
688175,高凌信息,科创版,2022-08-20,33.51,-2.33,-0.8,5833,19795353.0,3.67,34.77,33.51,34.17,3.28,通信设备,广东板块,342.03,1.78
688176,亚虹医药-U,科创版,2022-08-20,11.94,-0.42,-0.05,4881,5840004.0,0.92,12.04,11.93,11.99,0.46,生物制品,江苏板块,-35.98,2.29
688177,百奥泰,科创版,2022-08-20,19.76,0.92,0.18,15411,31057125.0,5.67,20.72,19.61,20.16,1.43,生物制品,广东板块,-18.53,4.14
688178,万德斯,科创版,2022-08-20,19.7,0.15,0.03,2320,4580376.0,1.37,19.85,19.58,19.58,0.52,环保行业,江苏板块,202.34,1.4
688179,阿拉丁,科创版,2022-08-20,44.33,-4.83,-2.25,19252,87580581.0,7.0,47.46,44.2,46.58,2.68,专业服务,上海板块,50.48,6.4
688180,君实生物-U,科创版,2022-08-20,58.8,-3.4,-2.07,64422,383917970.0,4.01,61.14,58.7,60.88,1.5,生物制品,上海板块,-33.84,6.89
688181,八亿时空,科创版,2022-08-20,48.25,-3.29,-1.64,28472,141056806.0,6.45,51.44,48.22,50.9,3.71,光学光电子,北京板块,18.23,2.44
688182,灿勤科技,科创版,2022-08-20,14.93,-4.84,-0.76,44842,69390267.0,7.27,16.07,14.93,15.65,6.33,通信设备,江苏板块,80.74,2.93
688183,生益电子,科创版,2022-08-20,11.76,-2.97,-0.36,50738,61003263.0,4.95,12.34,11.74,12.17,1.67,电子元件,广东板块,30.38,2.49
688185,康希诺,科创版,2022-08-20,157.11,-1.25,-1.99,13765,220590323.0,4.76,164.6,157.03,160.25,2.04,生物制品,天津板块,80.05,4.89
688186,广大特材,科创版,2022-08-20,36.6,-3.79,-1.44,53079,194361875.0,7.12,38.31,35.6,38.31,3.52,钢铁行业,江苏板块,93.96,2.54
688187,时代电气,科创版,2022-08-20,67.39,1.16,0.77,114265,780750920.0,5.22,70.38,66.9,67.25,6.53,交运设备,湖南板块,69.98,2.95
688188,柏楚电子,科创版,2022-08-20,224.7,-3.81,-8.9,5964,137198389.0,5.39,237.14,224.56,230.62,0.42,软件开发,上海板块,66.15,8.16
